SchoolID,AllSchoolInfoSchoolID,SchoolName,ActualShipDate,EstBookShipDate,MarketingStartDate,MarketingEndDate,IsDonorProject,IsMemberProject,AlumniTouchConsolidatedCount,AlumniTouchConsolidatedEmailCount,AlumniTouchConsolidatedPostcardCount,BEMLOptOutCount,HomeEmailBouncedCount,BusinessEmailBouncedCount,BuyersToRespondentsPercentage,MatchingHouseholdCandidates,MatchingHouseholdUniqueAddresses,MatchingHouseholdUniqueAddressesMoreThan2Candidates,MKTGSummaryAlumniCount,MKTGSummaryAlumniDeceasedRespondentsCount,MKTGSummaryAlumniLivingRespondentsCount,MKTGSummaryAlumniOriginalMarketableRespondentsCount,MKTGSummaryAlumniOriginalMarketableResponseRate,MKTGSummaryAlumniRespondentsCount,MKTGSummaryBuyersCount,MKTGSummarySalesCount,NumberOfBusinessAddressesAdded,NumberOfBusinessAddressesUpdated,NumberOfBusinessAddressesVerified,NumberOfBusinessEmailsUpdated,NumberOfBusinessEmailsVerified,NumberOfBusinessPhoneNumbersAdded,NumberOfBusinessEmailsAdded,NumberOfBusinessPhoneNumbersUpdated,NumberOfBusinessPhoneNumbersVerified,NumberOfCellPhoneNumbersAdded,NumberOfCellPhoneNumbersUpdated,NumberOfCellPhoneNumbersVerified,NumberOfEmployerNamesAdded,NumberOfEmployerNamesUpdated,NumberOfEmployerNamesVerified,NumberOfHomeAddressesAdded,NumberOfHomeAddressesNCOAUpdated,NumberOfHomeAddressesUpdated,NumberOfHomeAddressesVerified,NumberOfHomeEmailsAdded,NumberOfHomeEmailsUpdated,NumberOfHomeEmailsVerified,NumberOfHomePhoneNumbersAdded,NumberOfHomePhoneNumbersUpdated,NumberOfJobTitlesAdded,NumberOfHomePhoneNumbersVerified,NumberOfJobTitlesUpdated,NumberOfJobTitlesVerified,OptOutPercentage,OriginalBusinessEmailBouncedCount,OriginalHomeEmailBouncedCount,ThirdPartyAppendBouncedContributingEmailCount,ThirdPartyAppendContributingEmailBuyerCount,ThirdPartyAppendEmailCandidateContributingEmailCount,ThirdPartyAppendEmailCandidateCount,ThirdPartyAppendNonContributingEmailCount,TotalAlumniBuyersToOrigMarketable,TotalAlumniDeceased,TotalAlumniDeceasedOMRatio,TotalAlumniDeceasedRatio,TotalAlumniDeceasedRespondentsOMRatio,TotalAlumniDeceasedRespondentsRatio,TotalAlumniDonor,TotalAlumniDoNotEmail,TotalAlumniDoNotEmailToOrigMarketable,TotalAlumniDoNotMail,TotalAlumniDoNotMailToOrigMarketable,TotalAlumniDoNotPhone,TotalAlumniDoNotPhoneToOrigMarketable,TotalAlumniDoNotPrint,TotalAlumniDoNotPrintCL,TotalAlumniDoNotPrintCLOMRatio,TotalAlumniDoNotPrintRatio,TotalAlumniIncompleteContactInfo,TotalAlumniIncompleteContactInfoCL,TotalAlumniIncompleteContactInfoCLOMRatio,TotalAlumniIncompleteContactInfoRatio,TotalAlumniLivingRespondentsOMRatio,TotalAlumniLivingRespondentsRatio,TotalAlumniLost,TotalAlumniLostCL,TotalAlumniLostCLOMRatio,TotalAlumniLostRatio,TotalAlumniOriginalEmailable,TotalAlumniOriginalEmailableINTL,TotalAlumniOriginalEmailableINTLToOrigMarketable,TotalAlumniOriginalEmailableToOrigMarketable,TotalAlumniOriginalEmailableUSorCAN,TotalAlumniOriginalEmailableUSorCANToOrigMarketable,TotalAlumniOriginalMailable,TotalAlumniOriginalMailableINTL,TotalAlumniOriginalMailableINTLToOrigMarketable,TotalAlumniOriginalMailableToOrigMarketable,TotalAlumniOriginalMailableUSorCAN,TotalAlumniOriginalMailableUSorCANToOrigMarketable,TotalAlumniOriginalMarketable,TotalAlumniOriginalPhonable,TotalAlumniOriginalPhonableINTL,TotalAlumniOriginalPhonableINTLToOrigMarketable,TotalAlumniOriginalPhonableToOrigMarketable,TotalAlumniOriginalPhonableUSorCAN,TotalAlumniOriginalPhonableUSorCANToOrigMarketable,TotalAlumniOriginalRestrictedPhonable,TotalAlumniOriginalRestrictedPhonableToOrigMarketable,TotalAlumniPriorBuyer,TotalAlumniRemainingEmailable,TotalAlumniRemainingEmailableINTL,TotalAlumniRemainingEmailableINTLToOrigMarketable,TotalAlumniRemainingEmailableToOrigMarketable,TotalAlumniRemainingEmailableUSorCAN,TotalAlumniRemainingEmailableUSorCANToOrigMarketable,TotalAlumniRemainingMailable,TotalAlumniRemainingMailableCL,TotalAlumniRemainingMailableCLToOrigMarketable,TotalAlumniRemainingMailableINTL,TotalAlumniRemainingMailableINTLToOrigMarketable,TotalAlumniRemainingMailableToOrigMarketable,TotalAlumniRemainingMailableUSorCAN,TotalAlumniRemainingMailableUSorCANToOrigMarketable,TotalAlumniRemainingMarketableCandidates,TotalAlumniRemainingMarketableCandidatesCL,TotalAlumniRemainingMarketableCandidatesCLOMRatio,TotalAlumniRemainingMarketableCandidatesRatio,TotalAlumniRemainingPhonable,TotalAlumniRemainingPhonableINTL,TotalAlumniRemainingPhonableINTLToOrigMarketable,TotalAlumniRemainingPhonableToOrigMarketable,TotalAlumniRemainingPhonableUSorCAN,TotalAlumniRemainingPhonableUSorCANToOrigMarketable,TotalAlumniRemainingRestrictedPhonable,TotalAlumniRemainingRestrictedPhonableToOrigMarketable,TotalAlumniRespondentsRatio,TotalAlumniRespondentsToOrigMarketable,TotalAlumniStaff,TotalAlumniVIP,TotalAlumniUncontactable,TotalAlumniUncontactableCL,TotalAlumniUncontactableCLOMRatio,TotalAlumniUncontactableRatio,TotalConstituentsWithClientOriginatedEmployerName,TotalConstituentsWithClientOriginatedJobTitle,TotalConstituentsWithInValidClientOriginatedBusinessEmails,TotalConstituentsWithInValidClientOriginatedHomeEmails,TotalConstituentsWithValidClientOriginatedBusinessPhones,TotalConstituentsWithValidClientOriginatedCellPhones,TotalConstituentsWithValidClientOriginatedHomeEmails,TotalConstituentsWithValidClientOriginatedHomePhones,TotalMarketedTo,TotalNonDeceasedRecords,TotalPCIAmountOrders,TotalPCIAmountPaid,TotalPCIMemDonOrders,TotalPostcardBuncedCandidateCount,TotalPostcardCost,TotalPostcardProfit,TotalPostcardProfitPercentage,ValidClientOriginatedBusinessEmails,ClientDatabaseName,NoProductPitch,OneProductPitch,TwoOrMoreProductPitch,ProductPitchRate,TotalStoriesCollected,TotalStoriesToBePublished,TotalStoriesCompleted,TotalPhotoSubmissions,TotalHasPhotoSubmission,TotalPhotosSubmitted,TotalConstituentsWithPhotoAndIncludedInBook,StoriesToRespondents %,Photos To Stories In Book %
445,9820,NESA Directory - 2014,,9/24/2015,4/25/2014,7/24/2015,TRUE,TRUE,5150307,4085810,2406639,661,63144,363,13.01,0,0,0,1859215,5747,151938,155770,9.981941894,157685,20516,21077,24015,11544,14195,0,0,15230,17629,7263,14442,61166,1183,7855,58754,14662,21864,558,193205,29460,97086,35114,20634,61031,5416,37565,72194,89682,20810,21675,0.08941216574,0,96,33260,3229,280120,280110,4209,1.07,4806,0,0,0,0,50311,24666,1.28,67498,3.51,53921,2.8,50765,53313,3,3,590,5404,0,0,8,8,262711,218695,11,14,595976,558,0.03,30.95,595418,30.92,1897805,991,0.05,98.56,1896814,98.51,1925458,1509770,734,0.04,78.41,1479431,76.84,29605,1.54,0,536846,288,0.01,27.88,256448,13.32,1331709,1371950,71.25,66,0,69.16,1331643,69.16,1354471,1389465,72,73,1066665,536,0.03,55.4,1041917,54.11,24212,1.26,8,8.19,266,0,28187,29847,2,2,261257,314387,0,0,101976,66138,0,1130807,1229685,1848678,3050152,3025231,240380,21917,711228.75,2314002.69,75.87,0,In-House,,,,,,,,0,,,,,
469,9777,Virginia Military Institute - 2015,,12/15/2015,11/17/2014,5/15/2015,FALSE,FALSE,94046,63951,75228,20,1486,977,26.13,540,260,1,39632,158,9584,9720,49.74666053,9742,2546,2633,1148,2800,2101,1164,1507,937,1305,1897,2362,5731,0,0,1981,2428,4148,23,734,1951,7110,886,1560,6210,566,2015,3349,6130,2281,2948,0.1655218075,0,3,40,27,2228,2207,44,13.03,14597,75,37,1,0,0,250,1.28,56,0.29,57,0.29,3,4,0,0,547,625,3,1,49,24,4633,4118,21,12,12071,84,0.43,61.78,11987,61.35,19257,83,0.42,98.56,19174,98.13,19539,16419,45,0.23,84.03,16279,83.32,95,0.49,3144,5145,66,0.34,26.33,2872,14.7,9730,10227,52.34,35,0.18,49.8,9695,49.62,10098,10533,54,25,7441,40,0.2,38.08,7350,37.62,51,0.26,25,49.86,85,26,12,13,0,0,19102,16485,0,0,6045,4202,0,12922,19491,24877,417407,416706,0,259,22232.4,394473.13,94.51,0,Raiser's Edge v7.94 or earlier,,,,,,,,0,,,,,
477,9867,Manchester University 2014,,12/5/2015,12/12/2014,6/12/2015,FALSE,FALSE,67649,37793,47814,10,629,83,16.47,5340,2549,40,33080,266,7359,7476,46.2394854,7625,1256,1389,871,1227,1031,487,380,618,823,1090,1216,2490,160,1036,2472,1115,1747,6,352,745,6364,1020,1021,3924,1016,789,3417,4330,1206,1556,0.110619469,0,0,189,40,1241,1233,117,7.77,10878,67,33,2,1,10630,871,5.39,713,4.41,497,3.07,270,354,2,1,87,159,1,0,46,22,5891,5388,33,18,8213,52,0.32,50.8,8161,50.48,15728,157,0.97,97.28,15571,96.31,16168,10078,27,0.17,62.33,4049,25.04,6002,37.12,0,4053,38,0.24,25.07,2782,17.21,7801,8276,51.19,19,0.12,48.25,7782,48.13,8278,8617,53,25,4069,22,0.14,25.17,1519,9.4,2528,15.64,23,47.16,98,476,51,59,0,0,7939,10204,0,0,1232,1253,0,3703,15677,21936,182882,182313,0,159,12659.1,169653.62,92.77,0,Raiser's Edge v7.94 or earlier,,,,,,,,0,,,,,
478,9871,Texas A&M University 2015,,2/17/2016,2/27/2015,8/27/2015,FALSE,FALSE,913618,660131,710125,207,16601,10136,14.79,106765,50704,710,452354,1103,72320,72799,19.05867692,73423,10859,11405,13288,10051,13743,6889,10240,11370,5028,4874,11726,13394,4977,34839,14262,13602,31661,375,7106,10551,56674,2168,7936,56093,4052,14797,15735,39981,19352,28703,0.08196851142,10,38,0,0,0,0,0,2.84,39942,10,9,0,0,192027,12794,3.35,18641,4.88,10182,2.67,18771,19217,5,4,8725,9740,3,2,19,16,13423,8339,2,3,293824,3555,0.93,76.92,290269,75.99,366016,9803,2.57,95.82,356213,93.26,381973,253607,3011,0.79,66.39,249854,65.41,742,0.19,17853,205419,3662,0.96,53.78,201757,52.82,268282,274526,71.87,0,0,70.24,268282,70.24,290393,293625,77,64,150054,2087,0.55,39.28,147403,38.59,564,0.15,16,19.22,4778,113,7677,8068,2,2,0,0,0,0,0,0,0,0,322251,0,2201404,2199007,0,5205,173741.1,2025265.47,92,0,Ellucian Advance,,,,,,,,0,,,,,
479,9888,TREA - The Enlisted Association 2014,,12/10/2015,12/12/2014,6/12/2015,FALSE,FALSE,371563,132136,286926,103,4197,0,14.7,24513,12129,33,140510,2587,26922,29394,22.72175627,29509,4338,4232,0,0,0,0,0,0,0,0,0,8802,0,0,0,0,2,0,9243,2182,23904,6987,1355,3085,4501,6388,0,14258,0,0,0.2459760233,0,2,1118,513,0,0,786,3.35,1,0,0,2,2,26456,150,0.12,1622,1.25,361,0.28,98743,110024,85,70,1,1,0,0,21,19,12255,974,1,9,11195,11,0.01,8.65,11184,8.65,128407,53,0.04,99.26,128354,99.22,129365,82701,17,0.01,63.93,78621,60.77,4063,3.14,0,1,0,0,0,1,0,1,1,0,0,0,0,1,0,1,1,0,0,1,0,0,0,1,0,0,0,21,22.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,129680,0,559813,558925,36510,2630,74845.8,484078.82,86.47,0,Blackbaud CRM,,,,,,,,0,,,,,
480,9870,Alpha Kappa Psi 2014,,12/17/2015,12/19/2014,6/19/2015,TRUE,FALSE,557443,458070,172885,117,2812,1878,11.11,7315,3447,79,213408,444,13152,13526,9.439005157,13596,1510,1166,1855,2503,2041,361,191,1909,2298,1172,1338,4383,839,1757,3856,2579,3637,7,13976,2542,8922,3207,1417,5925,1789,3923,3945,5400,3832,3124,0.1523556528,3,6,1989,53,18297,18297,458,1.05,26660,19,12,0,0,326,2882,2.01,1162,0.81,434,0.3,1,1,0,0,164,442,0,0,9,6,43312,40261,28,20,54272,715,0.5,37.87,53557,37.37,139910,1225,0.85,97.64,138685,96.78,143299,96582,720,0.5,67.4,93300,65.11,2562,1.79,0,60222,509,0.36,42.03,41416,28.9,124312,128279,89.52,510,0.36,86.75,123802,86.39,129357,132087,92,61,80900,473,0.33,56.46,78471,54.76,1956,1.36,6,9.49,5021,154,318,361,0,0,33561,36647,0,0,8807,15830,0,85614,139893,186304,167248,166464,5850,1309,50308.2,116155.74,69.45,0,Raiser's Edge v7.94 or earlier,,,,,,,,0,,,,,
481,9856,Oakland City University 2015,,12/31/2015,1/30/2015,7/9/2015,FALSE,FALSE,42568,30902,27033,6,610,2,11.31,1539,747,7,14717,51,1629,1524,17.22033898,1680,190,199,461,0,0,0,0,0,249,0,0,883,0,0,1203,0,0,4,354,255,1280,374,324,640,247,403,1351,768,0,0,0.09332711153,0,1,175,34,2006,2005,120,2.15,1386,16,9,1,0,3171,7,0.08,827,9.34,4,0.05,4,4,0,0,9,74,1,0,18,11,2956,2290,26,20,3796,28,0.32,42.89,3768,42.58,7997,3,0.03,90.36,7994,90.33,8850,6078,29,0.33,68.68,1404,15.86,4645,52.49,0,3067,15,0.17,34.66,1047,11.83,8444,9127,103.13,36,0.41,95.41,8408,95.01,8665,9219,104,59,4956,31,0.35,56,1047,11.83,3878,43.82,11,18.98,65,13,17,64,1,0,1184,1452,0,0,0,129,0,1376,10371,13280,28118,28063,0,183,7653.3,20409.64,72.59,0,CAMS Enterprise,,,,,,,,0,,,,,
482,9892,National Association for Uniformed Services 2015,,2/11/2016,2/13/2015,8/13/2015,FALSE,TRUE,152323,98384,122646,87,2676,0,15.17,0,0,0,35545,1234,15856,17090,48.95866159,17090,2592,2746,581,0,0,0,0,355,234,114,162,5277,16,46,8030,0,0,4,179,1307,14943,1567,1294,6619,1254,3419,9361,10944,0,0,0.4120683939,0,1,1235,251,0,0,358,7.43,11,0,0,4,3,24406,315,0.9,585,1.68,532,1.52,17443,18424,53,49,3,3,0,0,45,45,981,0,0,3,14064,13,0.04,40.29,14051,40.25,34510,7,0.02,98.86,34503,98.84,34907,29652,5,0.01,84.95,28874,82.72,773,2.21,0,3,0,0,0.01,3,0.01,3,3,0.01,0,0,0.01,3,0.01,6,6,0,0,4,0,0,0.01,4,0.01,0,0,48,48.96,0,0,11,11,0,0,7841,9051,0,0,466,3230,0,11573,34868,34308,375753,376311,5889,935,36793.8,339517.17,90.36,0,Advanced Solutions iMIS Fundraising,,,,,,,,438,,,,,
483,9824,Hofstra University 2015,,1/2/2016,1/16/2015,7/16/2015,TRUE,FALSE,235951,201705,115190,41,4185,583,9.36,7827,3774,36,125527,148,7979,8095,10.44111957,8127,761,788,928,1782,1517,194,492,810,1289,1069,1372,2769,10,2,1587,1952,2413,72,7447,1416,5078,1395,944,3730,632,1397,2482,4345,1750,1829,0.08315249356,2,5,825,29,13545,13545,152,0.98,6915,9,6,0,0,0,540,0.7,303,0.39,518,0.67,3,3,0,0,63,141,0,0,10,6,40558,38527,50,32,34340,257,0.33,44.29,34083,43.96,75918,327,0.42,97.92,75591,97.5,77530,59485,185,0.24,76.73,59207,76.37,93,0.12,0,37309,231,0.3,48.12,23533,30.35,67194,70839,91.37,186,0.24,86.67,67008,86.43,69648,71587,92,55,45645,123,0.16,58.87,45439,58.61,83,0.11,6,10.48,509,22,213,227,0,0,28445,22103,0,0,11879,2015,0,46730,68324,118476,111323,110910,7244,756,31635.3,79274.33,71.21,0,Banner,,,,,,,,681,,,,,
484,9887,Phi Kappa Tau 2015,,1/12/2016,1/16/2015,7/16/2015,TRUE,FALSE,258355,200577,119916,46,2503,62,15.41,1767,829,20,86538,667,8461,9048,16.25934445,9128,1407,1367,1966,522,139,38,31,579,1368,2438,1710,2867,314,1364,5235,527,255,3,1023,1672,6713,2332,1013,3481,797,2721,5782,4352,583,260,0.1421859545,0,3,1107,129,10194,10161,416,2.53,15237,27,18,1,1,16248,68,0.12,608,1.09,169,0.3,1,1,0,0,99,232,0,0,15,10,15388,13324,24,18,18885,76,0.14,33.94,18809,33.8,53839,156,0.28,96.75,53683,96.47,55648,43316,37,0.07,77.84,42279,75.98,1000,1.8,0,21976,59,0.11,39.49,11756,21.13,43977,46256,83.12,32,0.06,79.03,43945,78.97,46472,48374,87,54,34607,32,0.06,62.19,33767,60.68,808,1.45,11,16.4,1,0,213,242,0,0,8170,9593,0,0,14055,7902,0,37753,55532,70634,193992,195285,6764,766,35556.6,159728.29,82.34,0,Patriot,,,,,,,,0,,,,,
